pnum,condition,hits,misses,false_alarms,correct_rejections,nSignal,nNoise,hit_rate,fa_rate,d_prime,criterion
1,0,981,40,38,985,1021,1023,0.960822722820764,0.03714565004887586,3.545129342573251,0.012250509767271711
1,1,974,48,36,983,1022,1019,0.9530332681017613,0.03532875368007851,3.482676283368831,0.06633422805255995
1,2,745,258,257,749,1003,1006,0.7427716849451645,0.2554671968190855,1.3092974804411825,0.002734704865880677
1,3,752,230,265,710,982,975,0.7657841140529531,0.2717948717948718,1.3324266092659314,-0.05881971795552071
2,0,833,171,161,845,1004,1006,0.8296812749003984,0.16003976143141152,1.9472009714148717,0.020693993134916155
2,1,824,172,171,824,996,995,0.8273092369477911,0.17185929648241205,1.8904288385466153,0.0016289609590476872
2,2,623,365,347,645,988,992,0.6305668016194332,0.3497983870967742,0.7192197440497925,0.026254964255085916
2,3,614,360,378,591,974,969,0.6303901437371663,0.39009287925696595,0.6119637956315114,-0.02690493038945793
3,0,960,64,79,945,1024,1024,0.9375,0.0771484375,2.9586375185343132,-0.05480178508538969
3,1,950,74,66,958,1024,1024,0.927734375,0.064453125,2.9775521661741844,0.029653058065499005
3,2,710,305,305,715,1015,1020,0.6995073891625616,0.29901960784313725,1.0502065511353353,0.0021190371054241597
3,3,711,300,312,698,1011,1010,0.7032640949554896,0.3089108910891089,1.0327515291927516,-0.017435947062564655
4,0,905,107,91,920,1012,1011,0.8942687747035574,0.09000989119683482,2.590248304505991,0.045569974024569304
4,1,889,116,121,888,1005,1009,0.8845771144278607,0.1199207135777998,2.373566264328192,-0.01139989588492063
4,2,657,327,326,659,984,985,0.6676829268292683,0.33096446700507615,0.8707755253533769,0.0018637792820028198
4,3,639,321,299,665,960,964,0.665625,0.31016597510373445,0.9232441325140562,0.03375787632565347
5,0,861,162,177,845,1023,1022,0.841642228739003,0.17318982387475537,1.942864970157853,-0.02979768754274048
5,1,847,173,170,849,1020,1019,0.8303921568627451,0.16683022571148184,1.9224832465947328,0.00552552346541213
5,2,632,383,374,636,1015,1010,0.6226600985221675,0.3702970297029703,0.6435414390636851,0.009296039708144493
5,3,610,397,386,618,1007,1004,0.605759682224429,0.3844621513944223,0.5620663566088588,0.012749067174902207
6,0,1002,21,18,1005,1023,1023,0.9794721407624634,0.017595307917888565,4.1491250276923495,0.031595650298222644
6,1,992,25,22,994,1017,1016,0.9754178957718781,0.021653543307086614,3.9879009934746614,0.02678564292727914
6,2,768,197,189,776,965,965,0.7958549222797927,0.19585492227979276,1.6834269998643792,0.014807170149113591
6,3,745,204,180,784,949,964,0.7850368809272918,0.18672199170124482,1.6793586725390641,0.05036145500246564
7,0,965,48,49,967,1013,1016,0.9526159921026653,0.04822834645669291,3.333045213729262,-0.004242840998736508
7,1,973,39,45,960,1012,1005,0.9614624505928854,0.04477611940298507,3.465679488403725,-0.035075351137500155
7,2,695,254,254,697,949,951,0.7323498419388831,0.26708727655099895,1.2415815759569697,0.0008553845836152263
7,3,688,255,238,682,943,920,0.7295864262990456,0.25869565217391305,1.2589345218541057,0.017904598012040307
8,0,983,39,36,988,1022,1024,0.961839530332681,0.03515625,3.5823359011397393,0.0187242879107391
8,1,979,44,31,992,1023,1023,0.956989247311828,0.030303030303030304,3.5931269152659597,0.07979510426161529
8,2,750,245,244,752,995,996,0.7537688442211056,0.24497991967871485,1.376770469279975,0.001987466590286091
8,3,765,219,262,734,984,996,0.7774390243902439,0.26305220883534136,1.3975364979475557,-0.06480440401338877
9,0,929,85,85,928,1014,1013,0.9161735700197239,0.08390918065153011,2.759032787028185,-0.00026858198392076815
9,1,926,71,67,925,997,992,0.9287863590772317,0.06754032258064516,2.961175181210332,0.01377587521243484
9,2,694,281,316,657,975,973,0.7117948717948718,0.32476875642343267,1.0130406468050177,-0.05211554376809113
9,3,646,295,283,665,941,948,0.6865037194473964,0.29852320675105487,1.0146168556546549,0.021344245427121072
10,0,976,46,61,961,1022,1022,0.9549902152641878,0.05968688845401174,3.252701947000844,-0.06894351690581335
10,1,970,52,53,970,1022,1023,0.949119373776908,0.05180840664711633,3.263941018529767,-0.004403896254534079
10,2,737,270,268,730,1007,998,0.7318768619662364,0.2685370741482966,1.2357427426451357,-0.0006279029135221603
10,3,712,280,272,721,992,993,0.717741935483871,0.27391742195367574,1.177154271568254,0.012430584974852665
