pnum,condition,hit_rate,fa_rate
1,0,0.9600510390039705,0.04010468732376953
2,0,0.831256443876577,0.15586333741976927
3,0,0.9375737501748416,0.07697654320214352
4,0,0.8947242531166262,0.08864787875638307
5,0,0.8429706737261076,0.1687116357914352
6,0,0.9778565221791939,0.023264700493536034
7,0,0.9520995095525926,0.05009078851333925
8,0,0.9609678128692263,0.03827215944523889
9,0,0.9166276909645057,0.08298921624870839
10,0,0.9546169506429306,0.06061254738148501
1,1,0.95234669315704,0.03823903530221059
2,1,0.8287676396113229,0.16706485250968445
3,1,0.9276375010767698,0.06477010021083592
4,1,0.8853065990233704,0.11717230113011579
5,1,0.8319397648130422,0.16234745699976091
6,1,0.9740460864573349,0.026478845097517037
7,1,0.9607278816122423,0.047017213964992324
8,1,0.9562373336493803,0.03374621102500977
9,1,0.9290000866425402,0.06770056448801355
10,1,0.9486769954251619,0.05322397671485253
1,2,0.7423090202802416,0.2562133125019022
2,2,0.6313636880228705,0.3487446487398103
3,2,0.6996780439943209,0.29862366022924036
4,2,0.6679723900438849,0.3301444164836291
5,2,0.6230127988718553,0.3687590538287935
6,2,0.7950328501765291,0.19826832354298385
7,2,0.7321141887570798,0.2677517643365328
8,2,0.7532971787968805,0.2460315729559985
9,2,0.711938513626295,0.3242955555713184
10,2,0.7318340344341665,0.2688445770730592
1,3,0.7656266606000858,0.27253755797474016
2,3,0.6310154335383472,0.38782419099148524
3,3,0.7032606736840801,0.30857406564269513
4,3,0.6659833192779623,0.3096113954003859
5,3,0.6063685304016917,0.38266567159266174
6,3,0.7843739138021623,0.18961122054383214
7,3,0.7294265508421601,0.2592954468082741
8,3,0.7772417706777738,0.263680136440954
9,3,0.6864343522594367,0.29827158169976387
10,3,0.7176214739145168,0.2745339530371105
